Date,Close,High,Low,Open,Volume
2025-02-17,3221.85009765625,3239.39990234375,3194.550048828125,3213.550048828125,1966689
2025-02-18,3220.14990234375,3241.0,3183.0,3227.0,2428215
2025-02-19,3275.89990234375,3302.85009765625,3211.60009765625,3220.14990234375,1677978
2025-02-20,3275.800048828125,3285.449951171875,3247.75,3260.050048828125,1236693
2025-02-21,3315.10009765625,3324.89990234375,3270.89990234375,3275.800048828125,1706850
2025-02-24,3257.699951171875,3325.5,3250.0,3289.699951171875,1512844
2025-02-25,3225.89990234375,3248.949951171875,3206.39990234375,3233.0,2529084
2025-02-27,3209.5,3258.5,3184.0,3238.0,2572065
2025-02-28,3163.85009765625,3199.800048828125,3141.0,3199.800048828125,2494680
2025-03-03,3197.300048828125,3227.0,3160.0,3165.949951171875,1352460
2025-03-04,3213.0,3221.0,3167.800048828125,3171.050048828125,1442098
2025-03-05,3239.64990234375,3245.0,3187.85009765625,3213.0,1945855
2025-03-06,3259.89990234375,3266.449951171875,3215.0,3250.10009765625,1854837
2025-03-07,3244.699951171875,3289.0,3240.10009765625,3259.89990234375,930240
2025-03-10,3177.699951171875,3246.300048828125,3169.050048828125,3246.0,1777752
2025-03-11,3195.449951171875,3204.39990234375,3161.10009765625,3170.300048828125,1274649
2025-03-12,3193.64990234375,3221.949951171875,3153.050048828125,3205.0,1360149
2025-03-13,3187.300048828125,3233.14990234375,3178.050048828125,3202.25,1414376
2025-03-17,3173.449951171875,3240.050048828125,3159.0,3190.0,2805790
2025-03-18,3173.449951171875,3173.449951171875,3173.449951171875,3173.449951171875,0
2025-03-19,3319.550048828125,3326.60009765625,3268.5,3275.0,1616312
2025-03-20,3351.050048828125,3358.89990234375,3276.89990234375,3335.25,2434722
2025-03-21,3415.949951171875,3455.0,3332.75,3357.0,3042073
2025-03-24,3481.85009765625,3517.0,3446.0,3449.0,1955564
2025-03-25,3469.60009765625,3525.0,3435.35009765625,3505.0,4235900
2025-03-26,3444.800048828125,3496.800048828125,3418.5,3473.0,2315715
2025-03-27,3501.60009765625,3528.0,3451.0,3460.0,3467864
2025-03-28,3492.300048828125,3514.0,3472.550048828125,3509.89990234375,1348143
2025-04-01,3436.800048828125,3501.60009765625,3430.0,3480.0,1935147
2025-04-02,3419.89990234375,3457.75,3408.0,3433.0,1338839
2025-04-03,3420.14990234375,3463.0,3393.0,3400.0,1200631
2025-04-04,3260.14990234375,3403.800048828125,3237.300048828125,3400.0,2366979
2025-04-07,3068.5,3090.60009765625,2965.300048828125,3049.050048828125,4953864
2025-04-08,3161.10009765625,3193.89990234375,3092.699951171875,3124.949951171875,2877816
2025-04-09,3054.14990234375,3158.800048828125,3048.0,3158.800048828125,4451381
2025-04-11,3115.949951171875,3157.0,3100.14990234375,3114.0,3979116
2025-04-15,3257.60009765625,3272.0,3176.10009765625,3180.0,2161492
2025-04-16,3227.699951171875,3276.800048828125,3224.10009765625,3270.0,1578260
2025-04-17,3247.300048828125,3249.89990234375,3162.39990234375,3214.10009765625,3209331
2025-04-21,3280.5,3290.0,3225.10009765625,3249.5,1643003
2025-04-22,3257.800048828125,3285.0,3248.0,3280.0,2060322
2025-04-23,3301.0,3315.0,3266.699951171875,3275.39990234375,2381699
2025-04-24,3300.60009765625,3307.0,3280.0,3307.0,1993448
2025-04-25,3272.10009765625,3335.699951171875,3230.10009765625,3310.0,2004819
2025-04-28,3327.300048828125,3350.800048828125,3254.800048828125,3260.0,1689485
2025-04-29,3322.300048828125,3376.39990234375,3315.0,3335.0,1843861
2025-04-30,3341.0,3355.0,3303.300048828125,3324.0,1930714
2025-05-02,3334.89990234375,3374.89990234375,3325.0,3325.0,1411889
2025-05-05,3330.199951171875,3350.0,3300.699951171875,3350.0,1947332
2025-05-06,3334.0,3353.0,3302.800048828125,3346.0,1695516
2025-05-07,3321.39990234375,3339.800048828125,3284.10009765625,3332.0,2422707
2025-05-08,3323.89990234375,3366.0,3299.800048828125,3310.10009765625,3204333
2025-05-09,3443.89990234375,3477.0,3331.0,3331.0,5637694
2025-05-12,3587.199951171875,3602.800048828125,3490.0,3513.0,3147384
2025-05-13,3567.0,3606.0,3545.0,3587.199951171875,2374439
2025-05-14,3573.10009765625,3617.0,3567.0,3587.0,2440116
2025-05-15,3618.199951171875,3648.699951171875,3543.0,3594.0,3720879
2025-05-16,3604.699951171875,3642.0,3600.0,3642.0,1278520
2025-05-19,3600.199951171875,3619.89990234375,3587.0,3604.699951171875,1519244
2025-05-20,3567.800048828125,3634.0,3556.0,3630.0,1532347
2025-05-21,3589.0,3610.5,3555.0,3565.699951171875,1563885
2025-05-22,3551.39990234375,3592.0,3536.89990234375,3585.0,1597159
2025-05-23,3599.89990234375,3631.60009765625,3551.199951171875,3570.0,1119217
2025-05-26,3648.699951171875,3672.5,3608.39990234375,3615.800048828125,1678934
2025-05-27,3640.0,3665.0,3603.0,3648.699951171875,2013954
2025-05-28,3646.300048828125,3663.0,3620.0,3660.0,1293244
2025-05-29,3655.300048828125,3668.89990234375,3618.0,3663.89990234375,1972248
